Property_ID,Location_City,Location_District,Listing_Date,Property_Type,Square_Footage,Bedrooms,Bathrooms,Year_Built,Build_Quality_Rating,Nearby_Amenities_Score,Market_Trend_Index,Sale_Price_GBP,Agent_Commission_Percentage,Days_On_Market,Transaction_Type,Revenue_Activity,Revenue_GBP_Monthly,Price_Boxcox
BG-REA-20200225-00013,Reading,Southcote,2020-02-25,Townhouse,1176,1,1,1975,8,4.0,0.99,583705.93,2.49,12,Sale,Sale Commission,1211.19,452.6956968960568
BG-REA-20190906-00014,Reading,Tilehurst,2019-09-06,Apartment,1555,4,4,1984,4,1.0,1.01,735015.95,1.44,130,Sale,Sale Commission,882.02,495.5286237808387
BG-LON-20250607-00015,London,Notting Hill,2025-06-07,Townhouse,2679,3,3,1980,5,8.0,1.11,1430363.08,2.27,129,Sale,Sale Commission,2705.77,643.2535522912932
BG-LON-20250627-00016,London,Wimbledon,2025-06-27,Apartment,2496,2,1,1984,6,8.0,1.11,1051041.2,2.35,120,Lease,Residential Rent,55564.36,570.1040372768575
BG-REA-20220625-00017,Reading,Kennet Island,2022-06-25,Detached House,1502,1,1,1992,1,6.0,1.06,663942.35,1.59,96,Sale,Sale Commission,879.72,476.1547318729271
BG-REA-20210603-00018,Reading,Coley,2021-06-03,Apartment,1046,1,1,1950,5,5.0,0.93,514269.73,1.6,111,Lease,Residential Rent,32521.98,430.74928974817055
BG-LON-20191018-00019,London,Ealing,2019-10-18,Townhouse,3702,2,2,1950,10,10.0,1.0,1967973.82,2.02,150,Lease,Student Housing,82999.97,728.858626707923
BG-LON-20210503-00020,London,Wimbledon,2021-05-03,Townhouse,1136,5,2,1971,1,7.0,0.87,387535.53,1.5,24,Lease,Airbnb/Short Let,19659.3,385.466351248641
BG-LON-20211024-00021,London,Islington,2021-10-24,Townhouse,3640,2,2,1996,4,5.0,1.14,2984740.58,1.45,154,Sale,Sale Commission,3606.56,857.9027723606497
BG-GUI-20180812-00022,Guildford,Burpham,2018-08-12,Detached House,1005,2,1,1967,4,10.0,0.99,555791.06,2.16,133,Sale,Sale Commission,1000.42,444.0750599263406
BG-GUI-20201001-00023,Guildford,Onslow Village,2020-10-01,Detached House,3277,2,1,1975,10,7.0,0.86,1969174.92,1.35,143,Lease,Residential Rent,89799.95,729.0327404805175
BG-REA-20241026-00024,Reading,Tilehurst,2024-10-26,Townhouse,2873,3,1,1972,4,9.0,1.1,1749723.97,1.31,157,Lease,Student Housing,47150.56,696.0759682834566
BG-GUI-20190119-00025,Guildford,Stoughton,2019-01-19,Townhouse,531,3,2,1989,5,6.0,1.0,390257.01,1.57,14,Sale,Sale Commission,510.59,386.52711129086254
BG-GUI-20220923-00026,Guildford,Jacobs Well,2022-09-23,Apartment,1768,1,1,2012,5,2.0,1.1,913936.95,2.93,104,Sale,Sale Commission,2231.53,539.7139955403969
BG-REA-20200128-00027,Reading,Southcote,2020-01-28,Apartment,1846,5,4,1953,4,,1.01,1437617.99,2.07,102,Lease,Student Housing,49438.08,644.5294351608001
BG-GUI-20240310-00028,Guildford,Stoughton,2024-03-10,Detached House,1313,1,1,2000,8,9.0,1.1,574644.21,2.86,150,Lease,Student Housing,44446.06,449.92537916885584
BG-LON-20210809-00029,London,Hackney,2021-08-09,Apartment,3368,3,1,1980,6,3.0,1.1,2195730.57,1.74,10,Sale,Sale Commission,3183.81,760.78274686037
BG-LON-20230513-00030,London,Notting Hill,2023-05-13,Apartment,3580,1,1,1979,5,6.0,1.13,2474088.18,1.26,38,Sale,Sale Commission,2597.79,797.1663660664243
BG-GUI-20190822-00031,Guildford,Onslow Village,2019-08-22,Apartment,992,4,4,1995,10,2.0,0.99,643369.06,2.89,33,Sale,Sale Commission,1549.45,470.3123120035307
BG-REA-20180619-00032,Reading,Southcote,2018-06-19,Detached House,1188,4,3,1959,7,4.0,0.99,688326.83,2.91,139,Sale,Sale Commission,1669.19,482.93820840196554
BG-REA-20200305-00033,Reading,Earley,2020-03-05,Detached House,1442,2,1,1975,7,5.0,0.86,486839.85,1.56,110,Sale,Sale Commission,632.89,421.5821577618756
BG-REA-20201027-00034,Reading,Tilehurst,2020-10-27,Apartment,3891,1,1,2010,2,1.0,0.88,1405773.17,2.94,156,Sale,Sale Commission,3444.14,638.8994554811271
BG-REA-20191206-00035,Reading,Earley,2019-12-06,Apartment,502,4,4,1995,2,2.0,0.98,354945.33,1.48,71,Lease,Airbnb/Short Let,14272.66,372.394356056248
BG-GUI-20230320-00036,Guildford,Onslow Village,2023-03-20,Apartment,1681,3,1,2008,9,6.0,1.13,1352513.59,2.7,27,Sale,Sale Commission,3043.16,629.306946790582
BG-LON-20181217-00037,London,Richmond,2018-12-17,Apartment,3024,2,2,2000,2,1.0,1.0,1351305.64,2.76,43,Sale,Sale Commission,3108.0,629.0867354577096
BG-GUI-20210502-00038,Guildford,Park Barn,2021-05-02,Detached House,3103,2,2,1985,7,2.0,0.94,1617490.39,1.58,132,Sale,Sale Commission,2129.7,674.9836792324885
BG-GUI-20220623-00039,Guildford,Burpham,2022-06-23,Detached House,1872,5,1,2014,2,2.0,1.14,887488.82,1.85,154,Sale,Sale Commission,1368.21,533.5372156027568
BG-LON-20250127-00040,London,Greenwich,2025-01-27,Apartment,3380,2,1,2016,6,7.0,1.1,1330345.73,1.16,59,Lease,Residential Rent,104447.38,625.2464366849925
BG-GUI-20230708-00041,Guildford,Guildford Town Centre,2023-07-08,Detached House,1208,2,2,2001,7,4.0,1.12,727219.63,2.39,148,Sale,Sale Commission,1448.38,493.46086898760825
BG-GUI-20191026-00042,Guildford,Stoughton,2019-10-26,Townhouse,2586,1,1,1979,1,3.0,0.99,1258529.47,1.42,39,Lease,Airbnb/Short Let,67693.42,611.8010061430411
BG-REA-20240312-00043,Reading,Kennet Island,2024-03-12,Detached House,507,3,2,1978,10,3.0,1.12,383471.96,2.19,56,Lease,Student Housing,10597.26,383.87399001203806
BG-LON-20220329-00044,London,Camden,2022-03-29,Townhouse,1500,4,1,1997,2,6.0,1.15,1003494.74,1.55,115,Lease,Airbnb/Short Let,32288.56,559.8549562531767
BG-GUI-20211212-00045,Guildford,Jacobs Well,2021-12-12,Detached House,3617,3,3,1952,5,7.0,1.14,2599234.95,2.33,29,Lease,Airbnb/Short Let,101094.42,812.710314075464
BG-GUI-20200718-00046,Guildford,Jacobs Well,2020-07-18,Apartment,3629,4,4,1966,3,7.0,0.95,1391291.97,1.28,101,Lease,Airbnb/Short Let,57498.22,636.3135267593323
BG-GUI-20201012-00047,Guildford,Stoughton,2020-10-12,Detached House,1412,3,3,2003,10,1.0,0.88,802031.8,1.33,75,Sale,Sale Commission,888.92,512.7752339987823
BG-REA-20200324-00048,Reading,Caversham,2020-03-24,Apartment,3992,4,3,2006,10,9.0,0.93,2578593.85,1.57,138,Lease,Student Housing,99909.86,810.1785005319282
BG-GUI-20200411-00049,Guildford,Guildford Town Centre,2020-04-11,Detached House,1340,2,2,1965,5,9.0,0.9,891479.9,1.06,38,Sale,Sale Commission,787.47,534.4764313167752
BG-LON-20250225-00050,London,Notting Hill,2025-02-25,Apartment,1554,1,1,1960,7,7.0,1.14,1026178.61,1.85,21,Sale,Sale Commission,1582.03,564.7807877472559
BG-LON-20230204-00051,London,Croydon,2023-02-04,Townhouse,1426,3,3,1966,8,7.0,1.1,740625.62,2.25,23,Sale,Sale Commission,1388.67,497.00816945621415
BG-REA-20220716-00052,Reading,Whitley,2022-07-16,Detached House,552,1,1,1964,6,,1.08,340000.9,2.55,136,Sale,Sale Commission,722.5,366.1547855929773
BG-REA-20241216-00053,Reading,Caversham,2024-12-16,Detached House,955,5,5,1965,7,2.0,1.09,857531.83,1.3,22,Sale,Sale Commission,928.99,526.4038071781174
BG-GUI-20210312-00054,Guildford,Stoughton,2021-03-12,Detached House,1729,3,2,1985,4,4.0,0.9,997183.18,2.89,153,Sale,Sale Commission,2401.55,558.4723384756786
BG-REA-20210528-00055,Reading,Coley,2021-05-28,Apartment,2391,4,1,2015,3,9.0,0.92,1438673.3,2.94,177,Sale,Sale Commission,3524.75,644.7146995740551
BG-REA-20221129-00056,Reading,Tilehurst,2022-11-29,Apartment,3487,4,3,1990,6,8.0,1.15,2126973.15,1.23,110,Sale,Sale Commission,2180.15,751.3671900617579
BG-LON-20220628-00057,London,Clapham,2022-06-28,Detached House,1484,4,2,1979,6,2.0,1.13,743318.64,1.21,55,Sale,Sale Commission,749.51,497.7160235096669
BG-REA-20201201-00058,Reading,Southcote,2020-12-01,Detached House,1370,4,3,2009,1,5.0,0.85,800149.56,1.46,80,Sale,Sale Commission,973.52,512.3030913348961
BG-LON-20201031-00059,London,Hackney,2020-10-31,Detached House,1577,4,3,1998,8,10.0,0.92,689814.43,2.51,84,Sale,Sale Commission,1442.86,483.34726387646504
BG-REA-20240221-00060,Reading,Coley,2024-02-21,Detached House,1024,5,4,2001,3,6.0,1.05,717238.22,1.52,167,Lease,Student Housing,17208.27,490.7937482401883
BG-LON-20200925-00061,London,Kensington,2020-09-25,Apartment,1222,4,4,1965,4,10.0,0.88,1037094.74,2.66,40,Lease,Residential Rent,27121.74,567.1275836021626
BG-GUI-20230416-00062,Guildford,Park Barn,2023-04-16,Apartment,1228,2,1,2005,8,4.0,1.11,641926.77,1.16,56,Sale,Sale Commission,620.53,469.89848138230127
BG-REA-20230727-00063,Reading,Whitley,2023-07-27,Townhouse,2465,3,1,1981,7,3.0,1.14,1272626.97,2.47,153,Lease,Residential Rent,57646.24,614.47655977215
BG-GUI-20190217-00064,Guildford,Stoughton,2019-02-17,Detached House,833,3,3,1962,3,5.0,1.0,563348.17,3.0,103,Sale,Sale Commission,1408.37,446.43442390649983
BG-GUI-20240713-00065,Guildford,Jacobs Well,2024-07-13,Townhouse,1252,2,2,1977,5,9.0,1.12,993073.49,2.32,15,Sale,Sale Commission,1919.94,557.5691937103218
BG-LON-20240320-00066,London,Islington,2024-03-20,Townhouse,2006,3,2,2007,9,10.0,1.14,2273055.29,1.15,12,Lease,Residential Rent,49325.96,771.1591032280126
BG-REA-20250222-00067,Reading,Caversham,2025-02-22,Detached House,3910,2,2,1992,7,8.0,1.07,2163323.48,1.88,104,Sale,Sale Commission,3389.21,756.3677095866061
BG-REA-20221111-00068,Reading,Tilehurst,2022-11-11,Apartment,2537,2,1,2021,3,10.0,1.12,1867658.85,1.59,152,Lease,Airbnb/Short Let,85033.61,714.081587602565
BG-LON-20190901-00069,London,Croydon,2019-09-01,Detached House,1347,1,1,1983,3,7.0,1.0,770648.54,1.35,126,Sale,Sale Commission,866.98,504.8127775242625
BG-GUI-20221020-00070,Guildford,Park Barn,2022-10-20,Townhouse,2506,4,1,1969,9,5.0,1.06,1374358.73,1.55,75,Sale,Sale Commission,1775.21,633.2688268780179
BG-REA-20180531-00071,Reading,Whitley,2018-05-31,Detached House,536,1,1,2000,2,9.0,1.0,296458.36,2.65,96,Sale,Sale Commission,654.68,346.96034467785864
BG-LON-20230113-00072,London,Wimbledon,2023-01-13,Apartment,3036,4,4,2022,8,8.0,1.1,2637161.74,1.18,135,Lease,Student Housing,68702.93,817.3305945407074
BG-GUI-20180711-00073,Guildford,Onslow Village,2018-07-11,Detached House,3171,1,1,2001,5,4.0,1.02,1908048.84,2.28,29,Sale,Sale Commission,3625.29,720.0881467290002
BG-GUI-20201121-00074,Guildford,Merrow,2020-11-21,Apartment,3011,3,3,1994,9,,0.88,1480551.23,1.16,151,Lease,Residential Rent,89696.57,652.000669112932
BG-LON-20240615-00075,London,Hammersmith,2024-06-15,Apartment,1448,2,1,2004,5,9.0,1.05,851132.36,2.23,32,Sale,Sale Commission,1581.69,524.8603317286677
BG-REA-20230525-00076,Reading,Caversham,2023-05-25,Apartment,3107,5,2,1968,4,7.0,1.06,1712377.43,1.53,131,Lease,Airbnb/Short Let,54769.43,690.2203852045557
BG-REA-20210206-00077,Reading,Caversham,2021-02-06,Detached House,3862,3,3,1959,5,1.0,0.88,1771585.0,1.49,39,Sale,Sale Commission,2199.72,699.468261734195
BG-REA-20210221-00078,Reading,Southcote,2021-02-21,Townhouse,1065,4,1,2007,1,7.0,0.91,371178.04,1.02,131,Lease,Airbnb/Short Let,25191.81,378.9928524196767
BG-REA-20240323-00079,Reading,Kennet Island,2024-03-23,Townhouse,3551,3,2,2016,4,4.0,1.06,1679366.72,2.36,48,Lease,Residential Rent,134323.22,684.9794195259531
BG-LON-20190630-00080,London,Clapham,2019-06-30,Townhouse,2312,3,1,1999,9,2.0,0.98,1647410.46,1.49,168,Sale,Sale Commission,2045.53,679.8456670902685
BG-GUI-20250628-00081,Guildford,Jacobs Well,2025-06-28,Apartment,744,5,5,1970,5,6.0,1.06,659336.94,2.66,101,Sale,Sale Commission,1461.53,474.8565816662505
BG-REA-20181223-00082,Reading,Whitley,2018-12-23,Townhouse,3542,3,2,1950,8,3.0,1.01,1734389.64,2.32,143,Lease,Residential Rent,67301.02,693.6810045214764
BG-GUI-20230406-00083,Guildford,Burpham,2023-04-06,Townhouse,3036,3,1,2014,4,3.0,1.08,1982669.54,1.75,37,Lease,Student Housing,59783.03,730.9845104170857
BG-REA-20210920-00084,Reading,Earley,2021-09-20,Townhouse,2024,4,3,2005,3,8.0,1.12,1514054.75,1.41,38,Sale,Sale Commission,1779.01,657.7396400452272
BG-GUI-20210119-00085,Guildford,Park Barn,2021-01-19,Townhouse,2884,1,1,1978,5,8.0,0.87,1348107.43,2.63,71,Sale,Sale Commission,2954.6,628.5031160044862
BG-REA-20211026-00086,Reading,Caversham,2021-10-26,Detached House,1631,1,1,1996,9,7.0,1.09,714355.56,2.78,74,Lease,Airbnb/Short Let,59194.17,490.0192675961664
BG-GUI-20221018-00087,Guildford,Jacobs Well,2022-10-18,Apartment,3443,2,2,1970,7,8.0,1.1,2148768.21,1.52,68,Lease,Student Housing,95531.06,754.3716174827678
BG-LON-20181229-00088,London,Islington,2018-12-29,Townhouse,2469,1,1,1965,10,3.0,1.01,2385358.2,1.68,55,Lease,Airbnb/Short Let,62554.59,785.8527621374109
BG-GUI-20181210-00089,Guildford,Guildford Town Centre,2018-12-10,Apartment,3357,2,2,1957,2,7.0,1.01,1583288.49,2.42,149,Sale,Sale Commission,3192.97,669.3582269916225
BG-REA-20190405-00090,Reading,Kennet Island,2019-04-05,Apartment,2930,4,4,2011,1,3.0,1.0,1343689.01,2.75,143,Sale,Sale Commission,3079.29,627.6954379423486
BG-GUI-20190319-00091,Guildford,Onslow Village,2019-03-19,Apartment,936,2,2,1979,10,1.0,1.0,375771.34,1.01,154,Sale,Sale Commission,316.27,380.8279366540159
BG-LON-20250425-00092,London,Brixton,2025-04-25,Apartment,3696,4,4,2019,10,2.0,1.1,2287153.19,2.55,7,Lease,Airbnb/Short Let,120599.62,773.0276168246345
BG-LON-20250612-00093,London,Richmond,2025-06-12,Townhouse,1888,5,1,2023,10,8.0,1.15,1050921.78,1.68,105,Sale,Sale Commission,1471.29,570.0786532270189
BG-REA-20190912-00094,Reading,Earley,2019-09-12,Apartment,1204,5,2,1993,8,2.0,1.0,876902.75,1.88,21,Lease,Residential Rent,34046.82,531.0334640864262
BG-LON-20220928-00095,London,Brixton,2022-09-28,Townhouse,3282,1,1,2003,4,8.0,1.13,1565069.17,1.1,134,Lease,Residential Rent,49563.43,666.3312610296919
BG-REA-20220224-00096,Reading,Caversham,2022-02-24,Townhouse,2936,4,2,1965,7,3.0,1.11,2314545.05,2.77,176,Sale,Sale Commission,5342.74,776.6381075257945
BG-REA-20240207-00097,Reading,Caversham,2024-02-07,Townhouse,2561,2,1,1963,7,7.0,1.13,1102762.21,2.04,119,Lease,Student Housing,87757.58,580.9367837671203
BG-REA-20180108-00098,Reading,Caversham,2018-01-08,Townhouse,1363,5,4,1954,9,,0.99,846702.69,1.65,95,Lease,Residential Rent,37304.32,523.787798827515
BG-GUI-20240411-00099,Guildford,Onslow Village,2024-04-11,Townhouse,2617,4,1,1961,2,3.0,1.11,1949210.44,2.0,69,Sale,Sale Commission,3248.68,726.1301943776641
BG-GUI-20211113-00100,Guildford,Jacobs Well,2021-11-13,Detached House,2079,1,1,1967,3,4.0,1.1,949526.73,2.77,54,Lease,Student Housing,64646.64,547.8560666178136
BG-GUI-20200911-00101,Guildford,Burpham,2020-09-11,Apartment,1660,3,2,1964,5,1.0,0.88,934020.74,1.45,10,Sale,Sale Commission,1128.61,544.3319640165411
BG-LON-20230928-00102,London,Richmond,2023-09-28,Apartment,2261,4,3,1957,9,6.0,1.12,2015158.03,1.8,77,Sale,Sale Commission,3022.74,735.6504287442757
BG-REA-20230906-00103,Reading,Kennet Island,2023-09-06,Townhouse,2730,1,1,1977,1,1.0,1.13,1224732.01,2.7,136,Sale,Sale Commission,2755.65,605.3112771288261
BG-GUI-20200715-00104,Guildford,Merrow,2020-07-15,Detached House,3427,1,1,1975,2,3.0,0.89,927294.75,1.1,66,Lease,Student Housing,134590.98,542.7922278053719
BG-GUI-20180602-00105,Guildford,Guildford Town Centre,2018-06-02,Apartment,2355,4,3,1981,7,6.0,1.01,1265385.9,1.37,25,Sale,Sale Commission,1444.65,613.1045533082142
BG-REA-20180418-00106,Reading,Earley,2018-04-18,Detached House,1445,5,5,2011,1,1.0,0.98,918906.88,1.84,39,Sale,Sale Commission,1408.99,540.8624741358881
BG-REA-20250618-00107,Reading,Southcote,2025-06-18,Townhouse,3009,2,2,1969,4,3.0,1.11,1416227.93,2.05,73,Lease,Residential Rent,81234.39,640.7562944926941
BG-LON-20221227-00108,London,Ealing,2022-12-27,Detached House,631,3,2,1950,3,,1.14,362815.99,2.51,124,Lease,Airbnb/Short Let,12303.17,375.61621185391783
BG-LON-20190926-00109,London,Notting Hill,2019-09-26,Apartment,2829,3,3,2008,4,1.0,0.99,1805790.16,2.61,133,Sale,Sale Commission,3927.59,704.7252149333599
BG-REA-20191230-00110,Reading,Whitley,2019-12-30,Townhouse,2805,3,3,1986,7,6.0,1.0,1386219.75,2.26,43,Sale,Sale Commission,2610.71,635.403893030999
BG-GUI-20181212-00111,Guildford,Onslow Village,2018-12-12,Apartment,3803,5,2,1982,2,4.0,1.0,1473528.77,1.69,10,Sale,Sale Commission,2075.22,650.7877457632515
BG-GUI-20190922-00112,Guildford,Guildford Town Centre,2019-09-22,Apartment,2511,4,4,1997,2,5.0,0.99,1751657.04,1.72,140,Sale,Sale Commission,2510.71,696.3769713308271
BG-REA-20211102-00113,Reading,Whitley,2021-11-02,Apartment,1129,1,1,2020,5,3.0,1.14,806067.45,1.58,137,Sale,Sale Commission,1061.32,513.7852669661323
BG-REA-20250318-00114,Reading,Caversham,2025-03-18,Townhouse,2789,3,2,2024,7,10.0,1.12,2418795.35,2.49,151,Lease,Student Housing,55300.01,790.1458590412566
BG-LON-20180513-00115,London,Ealing,2018-05-13,Apartment,2278,4,2,1992,9,3.0,0.98,1282432.77,1.74,25,Sale,Sale Commission,1859.53,616.3269520715327
BG-LON-20200823-00116,London,Brixton,2020-08-23,Detached House,2371,1,1,1951,5,4.0,0.9,806984.46,2.74,109,Sale,Sale Commission,1842.61,514.0143438128696
BG-GUI-20210323-00117,Guildford,Guildford Town Centre,2021-03-23,Apartment,2935,3,2,2007,7,1.0,0.9,1575918.62,2.86,146,Sale,Sale Commission,3755.94,668.1363654112885
BG-LON-20191015-00118,London,Islington,2019-10-15,Detached House,761,1,1,1986,2,3.0,1.01,539732.33,2.42,149,Sale,Sale Commission,1088.46,438.9956703644299
BG-GUI-20240617-00119,Guildford,Jacobs Well,2024-06-17,Apartment,3453,2,1,2010,3,2.0,1.08,2218679.04,2.01,110,Sale,Sale Commission,3716.29,763.885188616636
BG-LON-20230305-00120,London,Ealing,2023-03-05,Townhouse,2277,3,2,1973,7,10.0,1.13,1430283.79,2.67,133,Sale,Sale Commission,3182.38,643.2395861973932
BG-LON-20220729-00121,London,Croydon,2022-07-29,Detached House,803,5,2,2003,4,5.0,1.12,434428.65,2.11,21,Sale,Sale Commission,763.87,403.14793334300293
BG-REA-20180402-00122,Reading,Coley,2018-04-02,Townhouse,3554,2,1,2013,10,,0.99,2351225.91,1.8,154,Sale,Sale Commission,3526.84,781.4323889741472
BG-REA-20230716-00123,Reading,Coley,2023-07-16,Detached House,1840,4,3,1986,2,6.0,1.12,985000.07,2.48,45,Lease,Airbnb/Short Let,70037.71,555.788320100952
BG-LON-20180530-00124,London,Notting Hill,2018-05-30,Townhouse,1135,3,2,1965,8,9.0,1.01,878491.67,2.75,16,Lease,Airbnb/Short Let,20012.48,531.4104369704273
BG-LON-20221216-00125,London,Camden,2022-12-16,Detached House,3955,5,1,1952,2,1.0,1.11,2171324.08,2.79,45,Lease,Residential Rent,137455.33,757.4614151142024
BG-LON-20220517-00126,London,Clapham,2022-05-17,Detached House,758,2,1,1956,10,2.0,1.09,393891.23,1.04,102,Lease,Student Housing,13398.97,387.9366216685897
BG-REA-20180927-00127,Reading,Whitley,2018-09-27,Detached House,1831,4,2,1967,7,6.0,1.01,1196859.71,1.25,39,Lease,Airbnb/Short Let,35227.23,599.8766156263015
BG-GUI-20220611-00128,Guildford,Guildford Town Centre,2022-06-11,Apartment,1953,4,1,2006,1,2.0,1.09,1081023.47,1.23,65,Lease,Residential Rent,50561.86,576.4222776597151
BG-REA-20190309-00129,Reading,Whitley,2019-03-09,Detached House,1276,2,1,1977,2,9.0,1.01,770813.81,2.59,38,Sale,Sale Commission,1663.67,504.85522241173953
BG-LON-20230420-00130,London,Croydon,2023-04-20,Apartment,1700,1,1,2013,3,2.0,1.05,569778.49,1.25,125,Sale,Sale Commission,593.52,448.4268438359926
BG-LON-20240701-00131,London,Islington,2024-07-01,Detached House,1540,1,1,2016,4,3.0,1.05,1192666.22,1.34,136,Sale,Sale Commission,1331.81,599.0522936619608
BG-LON-20241211-00132,London,Clapham,2024-12-11,Detached House,3846,3,2,1989,10,4.0,1.12,2366696.82,1.94,138,Sale,Sale Commission,3826.16,783.4407974952621
BG-LON-20201225-00133,London,Clapham,2020-12-25,Townhouse,2634,5,5,1965,9,9.0,0.89,2040151.91,1.6,46,Sale,Sale Commission,2720.2,739.2088550213543
BG-REA-20220513-00134,Reading,Coley,2022-05-13,Townhouse,3094,4,2,1972,1,6.0,1.14,2539694.04,2.2,122,Sale,Sale Commission,4656.11,805.3732857477145
BG-REA-20210909-00135,Reading,Kennet Island,2021-09-09,Apartment,3542,2,2,2013,1,8.0,1.06,2048393.17,2.29,57,Sale,Sale Commission,3909.02,740.3763461609672
BG-REA-20220922-00136,Reading,Southcote,2022-09-22,Apartment,2845,4,2,2021,10,1.0,1.07,2013685.93,2.3,104,Lease,Student Housing,58461.57,735.4400057464101
BG-REA-20240103-00137,Reading,Southcote,2024-01-03,Townhouse,1387,2,2,2007,6,7.0,1.14,920048.81,2.81,61,Lease,Residential Rent,40858.29,541.1258220234014
BG-GUI-20230502-00138,Guildford,Merrow,2023-05-02,Townhouse,2663,1,1,1963,4,4.0,1.08,1538360.81,1.58,50,Sale,Sale Commission,2025.51,661.8548239311342
BG-REA-20250518-00139,Reading,Whitley,2025-05-18,Townhouse,1124,3,2,2012,6,8.0,1.15,947989.54,1.51,108,Lease,Airbnb/Short Let,22494.18,547.5082785140542
BG-LON-20210601-00140,London,Wimbledon,2021-06-01,Detached House,2675,2,1,1984,7,,0.95,1614197.43,2.73,93,Sale,Sale Commission,3672.3,674.4452357754595
BG-LON-20250221-00141,London,Wimbledon,2025-02-21,Apartment,3909,2,1,1967,1,10.0,1.08,2490281.49,2.97,16,Sale,Sale Commission,6163.45,799.2042766410374
BG-LON-20221009-00142,London,Camden,2022-10-09,Apartment,3531,3,2,1975,2,2.0,1.06,2412926.69,2.96,170,Lease,Airbnb/Short Let,114793.35,789.3949947821252
BG-GUI-20190911-00143,Guildford,Onslow Village,2019-09-11,Detached House,2019,5,2,1958,4,6.0,0.99,927304.09,1.85,166,Lease,Student Housing,75438.99,542.7943706643354
BG-GUI-20200927-00144,Guildford,Onslow Village,2020-09-27,Detached House,3194,2,1,1969,7,9.0,0.91,1724643.42,2.09,138,Sale,Sale Commission,3003.75,692.1520902655601
BG-GUI-20210629-00145,Guildford,Burpham,2021-06-29,Detached House,737,4,1,1987,9,8.0,0.86,516562.23,1.4,168,Sale,Sale Commission,602.66,431.50180701900587
BG-LON-20221205-00146,London,Greenwich,2022-12-05,Detached House,2427,5,5,2001,8,10.0,1.12,2404383.52,1.66,12,Sale,Sale Commission,3326.06,788.29994748094
BG-GUI-20191119-00147,Guildford,Burpham,2019-11-19,Townhouse,2685,5,1,1983,9,7.0,1.02,1719073.91,2.75,160,Sale,Sale Commission,3939.54,691.2760200381576
BG-REA-20200806-00148,Reading,Earley,2020-08-06,Apartment,3720,4,4,2018,4,9.0,0.89,2209369.45,1.32,46,Lease,Airbnb/Short Let,78781.63,762.6289800392619
BG-LON-20250101-00149,London,Croydon,2025-01-01,Townhouse,3188,2,1,1966,10,9.0,1.12,1653476.92,1.25,134,Sale,Sale Commission,1722.37,680.8248805182844
BG-REA-20240924-00150,Reading,Whitley,2024-09-24,Apartment,3238,1,1,2016,7,,1.09,2313655.27,1.75,66,Sale,Sale Commission,3374.08,776.521237334119
